picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
sensorTask started...
ICM-42670P initialized successfully!
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,tmp
-1.000,-1.000,-1.000,-62.534,-62.534,-62.534,-57.750
-0.717,-0.851,-0.517,-109.435,-109.435,-109.435,-35.664
-0.506,-0.739,-0.155,-144.611,-144.611,-144.611,-19.107
-0.349,-0.654,0.116,-170.992,-170.992,-170.992,-6.688
-0.230,-0.591,0.318,-128.931,-128.206,-127.763,2.634
-0.140,-0.544,0.468,-97.412,-96.235,-95.391,9.622
-0.074,-0.508,0.581,-73.773,-72.023,-71.272,14.855
-0.024,-0.481,0.664,-56.101,-53.731,-53.263,18.800
0.013,-0.461,0.726,-42.717,-40.108,-40.024,21.748
0.041,-0.444,0.772,-32.496,-30.142,-30.297,23.975
0.064,-0.432,0.807,-24.746,-22.786,-23.047,25.644
0.084,-0.421,0.834,-18.868,-17.074,-17.598,26.893
0.100,-0.413,0.855,-14.533,-12.382,-13.363,27.834
0.113,-0.406,0.872,-11.323,-8.638,-10.049,28.545
0.122,-0.400,0.883,-8.924,-5.803,-7.567,29.085
0.130,-0.396,0.890,-7.120,-3.650,-5.610,29.480
0.136,-0.392,0.898,-5.600,-2.001,-4.158,29.770
0.141,-0.389,0.904,-4.326,-0.913,-3.107,29.989
0.145,-0.386,0.910,-3.489,-0.192,-2.185,30.170
0.147,-0.386,0.914,-2.861,0.272,-1.463,30.299
0.150,-0.386,0.919,-2.329,0.517,-0.933,30.392
0.151,-0.386,0.921,-2.098,0.708,-0.402,30.462
0.151,-0.388,0.922,-2.047,1.012,0.011,30.507
0.150,-0.388,0.920,-2.004,1.381,0.276,30.546
0.148,-0.389,0.919,-2.072,1.654,0.531,30.589
0.148,-0.389,0.917,-2.138,1.893,0.757,30.610
0.146,-0.390,0.917,-2.008,1.973,0.892,30.641
0.146,-0.391,0.918,-1.632,1.843,0.936,30.651
0.145,-0.391,0.920,-1.178,1.474,0.893,30.658
0.146,-0.390,0.923,-0.807,1.201,0.891,30.667
0.147,-0.390,0.926,-0.552,1.263,0.978,30.680
0.146,-0.389,0.927,-0.448,1.547,1.004,30.678
0.143,-0.389,0.926,-0.432,1.492,0.837,30.675
0.141,-0.388,0.925,-0.328,1.283,0.574,30.672
0.141,-0.388,0.925,-0.101,0.882,0.255,30.656
0.142,-0.388,0.924,0.104,0.578,0.127,30.666
0.144,-0.387,0.924,0.166,0.544,0.259,30.673
0.144,-0.386,0.922,0.048,0.828,0.713,30.675
0.143,-0.387,0.920,-0.147,1.316,1.230,30.672
0.140,-0.388,0.918,-0.156,1.586,1.499,30.666
0.136,-0.388,0.916,0.055,1.354,1.464,30.672
0.136,-0.387,0.915,0.438,0.943,1.323,30.678
0.136,-0.388,0.917,0.855,0.768,1.263,30.680
0.137,-0.388,0.920,1.088,0.851,1.237,30.680
0.136,-0.389,0.922,1.049,1.218,1.314,30.682
0.135,-0.391,0.925,0.977,1.753,1.355,30.691
0.134,-0.392,0.926,0.970,2.220,1.238,30.688
0.134,-0.392,0.928,1.017,2.371,1.001,30.686
0.136,-0.391,0.928,1.171,2.202,0.861,30.692
0.138,-0.390,0.928,1.478,1.812,0.829,30.699
0.139,-0.390,0.928,1.906,1.420,0.824,30.696
0.139,-0.390,0.930,2.285,1.218,0.878,30.711
0.138,-0.390,0.933,2.465,1.211,0.956,30.711
0.137,-0.391,0.934,2.338,1.343,1.049,30.713
0.135,-0.391,0.935,1.975,1.500,1.046,30.707
0.134,-0.392,0.936,1.500,1.812,0.987,30.702
0.134,-0.391,0.935,0.976,2.134,0.916,30.706
0.132,-0.392,0.935,0.461,2.245,0.897,30.703
0.129,-0.394,0.933,0.170,2.207,0.634,30.703
0.128,-0.396,0.935,0.315,1.857,-0.005,30.701
0.129,-0.394,0.935,0.553,1.218,-0.523,30.694
0.132,-0.393,0.935,0.575,1.184,-0.686,30.706
0.135,-0.393,0.937,0.595,1.457,-0.705,30.719
0.138,-0.391,0.939,0.504,1.642,-0.663,30.727
0.140,-0.388,0.939,0.156,1.762,-0.447,30.717
0.139,-0.388,0.939,-0.196,1.761,-0.171,30.719
0.139,-0.388,0.939,-0.406,1.687,0.009,30.713
0.139,-0.386,0.938,-0.591,1.406,0.152,30.724
0.137,-0.386,0.936,-0.729,0.910,0.263,30.725
0.135,-0.387,0.934,-0.776,0.156,0.243,30.737
0.135,-0.387,0.931,-0.849,-0.368,0.224,30.731
0.134,-0.389,0.931,-0.832,-0.307,0.099,30.739
0.133,-0.388,0.931,-0.727,-0.337,-0.200,30.754
0.134,-0.386,0.930,-0.885,-0.493,-0.383,30.745
0.136,-0.386,0.931,-1.080,-0.419,-0.383,30.733
0.138,-0.385,0.931,-1.184,-0.219,-0.211,30.745
0.141,-0.387,0.933,-1.159,-0.077,-0.070,30.736
0.141,-0.386,0.933,-1.022,-0.160,0.043,30.732
0.140,-0.386,0.931,-0.953,-0.388,0.238,30.740
0.137,-0.387,0.929,-0.814,-0.646,0.270,30.739
0.135,-0.386,0.928,-0.740,-0.805,0.115,30.746
0.134,-0.386,0.928,-0.819,-0.756,0.010,30.735
0.136,-0.386,0.929,-0.954,-0.533,-0.084,30.733
0.138,-0.385,0.930,-1.181,-0.278,-0.067,30.733
0.138,-0.387,0.935,-1.161,-0.181,-0.085,30.745
0.138,-0.386,0.937,-0.764,-0.773,-0.289,30.746
0.139,-0.384,0.936,-0.592,-1.534,-0.197,30.747
0.140,-0.384,0.936,-0.520,-1.697,0.184,30.750
0.138,-0.383,0.935,-0.577,-1.230,0.627,30.738
0.136,-0.385,0.935,-0.815,-0.606,0.928,30.741
0.133,-0.386,0.933,-0.943,-0.287,0.963,30.747
0.131,-0.385,0.929,-0.929,-0.436,0.856,30.756
0.130,-0.385,0.925,-0.887,-0.667,0.833,30.754
0.130,-0.385,0.922,-0.826,-0.748,0.957,30.767
0.130,-0.386,0.922,-0.699,-0.569,1.156,30.771
0.129,-0.386,0.922,-0.567,-0.343,1.283,30.761
0.127,-0.387,0.921,-0.486,-0.314,1.256,30.770
0.124,-0.387,0.920,-0.399,-0.560,0.984,30.767
0.124,-0.389,0.919,-0.215,-0.599,0.742,30.767
0.126,-0.390,0.920,0.098,-0.381,0.511,30.768
0.128,-0.389,0.921,0.379,-0.206,0.326,30.762
0.131,-0.389,0.923,0.586,-0.154,0.283,30.755
0.132,-0.389,0.925,0.905,-0.261,0.262,30.764
0.133,-0.389,0.928,1.286,-0.508,0.158,30.748
0.135,-0.389,0.932,1.563,-0.702,0.027,30.759
0.136,-0.389,0.935,1.570,-0.740,-0.133,30.756
0.137,-0.389,0.937,1.231,-0.532,-0.225,30.757
0.138,-0.389,0.938,0.671,-0.090,-0.242,30.775
0.139,-0.389,0.937,0.003,0.329,-0.116,30.763
0.138,-0.390,0.935,-0.604,0.655,-0.022,30.757
0.136,-0.391,0.933,-0.972,0.549,-0.139,30.756
0.136,-0.391,0.931,-1.161,0.053,-0.337,30.752
0.136,-0.391,0.929,-1.157,-0.544,-0.558,30.758
0.137,-0.390,0.928,-0.982,-1.004,-0.785,30.754
0.139,-0.390,0.930,-0.767,-1.104,-0.902,30.765
0.141,-0.389,0.933,-0.594,-0.889,-0.875,30.767
0.142,-0.388,0.935,-0.522,-0.648,-0.813,30.766
0.143,-0.387,0.936,-0.548,-0.516,-0.747,30.770
0.144,-0.386,0.935,-0.686,-0.368,-0.606,30.769
0.145,-0.385,0.935,-0.862,-0.158,-0.351,30.770
0.145,-0.385,0.934,-0.921,-0.092,-0.267,30.773
0.144,-0.384,0.932,-0.836,-0.328,-0.281,30.777
0.143,-0.383,0.930,-0.673,-0.769,-0.123,30.788
0.141,-0.384,0.928,-0.512,-1.111,0.026,30.786
0.138,-0.384,0.926,-0.357,-1.272,-0.057,30.781
0.136,-0.384,0.926,-0.291,-1.336,-0.222,30.785
0.137,-0.384,0.925,-0.329,-1.269,-0.315,30.780
0.138,-0.384,0.924,-0.476,-0.933,-0.252,30.778
0.138,-0.385,0.924,-0.643,-0.539,-0.082,30.781
0.137,-0.386,0.924,-0.719,-0.195,0.042,30.789
0.136,-0.387,0.926,-0.589,-0.001,-0.026,30.791
0.135,-0.387,0.927,-0.262,-0.111,-0.352,30.787
0.136,-0.387,0.928,0.074,-0.511,-0.718,30.785
0.138,-0.388,0.929,0.415,-0.704,-1.016,30.778
0.140,-0.386,0.930,0.658,-0.665,-1.143,30.775
0.142,-0.386,0.933,0.593,-0.426,-1.022,30.779
0.143,-0.387,0.937,0.494,0.073,-0.793,30.775
0.141,-0.388,0.940,0.409,0.276,-0.713,30.779
0.139,-0.389,0.940,0.185,-0.003,-0.733,30.777
0.139,-0.391,0.939,-0.087,-0.300,-0.787,30.788
0.139,-0.391,0.937,-0.405,-0.210,-0.842,30.786
0.138,-0.391,0.935,-0.876,0.118,-0.822,30.783
0.138,-0.392,0.934,-1.352,0.424,-0.735,30.781
0.136,-0.393,0.933,-1.586,0.482,-0.887,30.787
0.136,-0.394,0.934,-1.579,0.285,-1.230,30.793
0.137,-0.394,0.936,-1.234,-0.202,-1.713,30.794
0.140,-0.393,0.936,-0.964,-0.743,-1.991,30.795
0.143,-0.392,0.935,-0.963,-0.779,-1.962,30.799
0.145,-0.391,0.935,-1.043,-0.267,-1.762,30.797
0.145,-0.390,0.935,-1.248,0.231,-1.558,30.785
0.145,-0.389,0.934,-1.508,0.482,-1.459,30.780
0.146,-0.388,0.931,-1.692,0.465,-1.491,30.784
0.147,-0.387,0.930,-1.754,0.371,-1.458,30.793
0.147,-0.387,0.929,-1.690,0.324,-1.235,30.794
0.147,-0.387,0.929,-1.618,0.224,-1.082,30.801
0.145,-0.387,0.928,-1.531,0.099,-1.060,30.804
0.145,-0.387,0.927,-1.358,-0.032,-1.142,30.796
0.145,-0.386,0.926,-1.240,-0.150,-1.212,30.800
0.146,-0.385,0.923,-1.258,-0.090,-1.161,30.794
0.146,-0.385,0.922,-1.195,0.127,-1.058,30.790
0.145,-0.385,0.923,-0.961,0.199,-1.057,30.800
0.144,-0.385,0.924,-0.786,-0.027,-1.105,30.811
0.144,-0.386,0.924,-0.677,-0.188,-1.176,30.805
0.144,-0.387,0.924,-0.634,-0.076,-1.218,30.799
0.144,-0.388,0.925,-0.598,0.176,-1.227,30.799
0.145,-0.388,0.925,-0.616,0.361,-1.267,30.798
0.146,-0.388,0.926,-0.653,0.446,-1.214,30.802
0.147,-0.388,0.926,-0.688,0.503,-1.044,30.804
0.147,-0.389,0.927,-0.642,0.507,-0.848,30.805
0.148,-0.389,0.927,-0.562,0.460,-0.720,30.807
0.149,-0.389,0.928,-0.498,0.433,-0.631,30.812
0.149,-0.389,0.929,-0.511,0.370,-0.451,30.810
0.149,-0.390,0.929,-0.475,0.221,-0.361,30.811
0.150,-0.389,0.929,-0.440,0.204,-0.236,30.801
0.151,-0.390,0.929,-0.525,0.412,0.063,30.798
0.149,-0.390,0.929,-0.710,0.714,0.444,30.796
0.145,-0.392,0.927,-0.899,0.867,0.681,30.796
0.141,-0.395,0.924,-0.949,0.830,0.675,30.791
0.140,-0.395,0.923,-0.807,0.748,0.376,30.788
0.140,-0.394,0.919,-0.770,0.603,0.179,30.785
0.140,-0.394,0.917,-0.749,0.540,0.111,30.786
0.140,-0.395,0.916,-0.608,0.489,-0.077,30.783
0.139,-0.395,0.916,-0.467,0.333,-0.355,30.772
0.140,-0.396,0.919,-0.095,0.165,-0.831,30.786
0.142,-0.394,0.922,0.475,-0.212,-1.459,30.797
0.147,-0.391,0.925,0.749,-0.640,-1.888,30.812
0.153,-0.390,0.926,0.833,-0.629,-1.977,30.809
0.157,-0.388,0.929,0.808,-0.258,-1.731,30.796
0.160,-0.386,0.931,0.553,0.158,-1.306,30.798
0.160,-0.387,0.933,0.185,0.492,-0.846,30.802
0.159,-0.389,0.934,0.128,0.545,-0.715,30.789
0.158,-0.389,0.933,0.275,0.126,-0.776,30.795
0.158,-0.387,0.931,0.294,-0.524,-0.674,30.791
0.160,-0.387,0.929,0.167,-0.786,-0.341,30.787
0.158,-0.388,0.927,0.041,-0.658,-0.000,30.787
0.156,-0.388,0.928,-0.198,-0.463,0.385,30.788
0.154,-0.391,0.928,-0.454,-0.210,0.747,30.794
0.151,-0.393,0.928,-0.581,-0.016,0.938,30.797
0.148,-0.395,0.928,-0.630,0.118,1.059,30.805
0.146,-0.396,0.928,-0.690,0.271,1.176,30.799
0.144,-0.397,0.929,-0.705,0.455,1.229,30.798
0.141,-0.399,0.932,-0.666,0.567,1.120,30.796
0.139,-0.399,0.934,-0.572,0.505,0.817,30.798
0.137,-0.398,0.935,-0.532,0.333,0.483,30.810
0.137,-0.397,0.935,-0.571,0.078,0.137,30.799
0.138,-0.395,0.935,-0.665,0.020,-0.084,30.790
0.139,-0.392,0.933,-0.899,-0.008,-0.101,30.792
0.141,-0.390,0.931,-1.239,0.116,0.134,30.789
0.142,-0.389,0.929,-1.323,0.248,0.120,30.799
0.142,-0.386,0.928,-1.213,-0.043,-0.200,30.797
0.144,-0.384,0.926,-1.078,-0.479,-0.311,30.810
0.147,-0.382,0.925,-0.900,-0.668,-0.218,30.815
0.148,-0.381,0.924,-0.770,-0.444,0.031,30.820
0.148,-0.381,0.924,-0.654,0.060,0.344,30.818
0.146,-0.380,0.924,-0.452,0.400,0.556,30.828
0.145,-0.380,0.923,-0.332,0.457,0.585,30.823
0.145,-0.380,0.921,-0.172,0.316,0.503,30.814
0.146,-0.380,0.920,0.126,0.118,0.431,30.822
0.147,-0.381,0.922,0.499,0.047,0.331,30.827
0.148,-0.381,0.923,0.867,-0.068,0.225,30.827
0.149,-0.381,0.925,1.154,-0.173,0.211,30.828
0.151,-0.381,0.927,1.308,-0.046,0.307,30.818
0.153,-0.381,0.929,1.248,0.256,0.494,30.809
0.155,-0.382,0.931,1.158,0.699,0.771,30.804
0.154,-0.383,0.934,1.154,0.979,0.876,30.814
0.153,-0.383,0.935,1.053,0.921,0.974,30.813
0.152,-0.384,0.935,0.866,0.824,1.139,30.819
0.151,-0.386,0.934,0.741,0.840,1.289,30.827
0.148,-0.387,0.932,0.537,0.950,1.356,30.831
0.145,-0.389,0.930,0.395,1.052,1.311,30.827
0.142,-0.390,0.928,0.353,0.965,1.136,30.817
