accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,tmp
0.026,-0.092,0.234,0.595,0.313,-0.504,7.008
0.047,-0.160,0.411,1.198,0.796,-0.653,12.264
0.063,-0.211,0.548,1.689,1.543,-0.352,16.198
0.075,-0.250,0.653,1.969,2.161,0.072,19.141
0.083,-0.279,0.734,2.164,2.270,0.409,21.361
0.089,-0.301,0.796,2.291,2.096,0.681,23.015
0.093,-0.318,0.843,2.245,1.896,0.892,24.267
0.096,-0.331,0.878,2.126,1.559,0.913,25.222
0.099,-0.340,0.906,1.927,1.089,0.899,25.916
0.100,-0.346,0.926,1.644,0.855,0.957,26.439
0.100,-0.350,0.942,1.237,0.939,1.019,26.833
0.098,-0.353,0.956,0.679,1.250,1.081,27.121
0.094,-0.356,0.968,-0.101,1.781,1.273,27.341
0.089,-0.360,0.976,-1.187,2.160,1.286,27.517
0.083,-0.362,0.978,-2.424,2.151,1.118,27.652
0.079,-0.363,0.974,-3.669,1.926,0.934,27.750
0.075,-0.365,0.964,-4.741,2.028,0.902,27.815
0.071,-0.367,0.952,-5.525,2.136,0.707,27.871
0.068,-0.369,0.940,-5.918,1.900,0.275,27.901
0.067,-0.369,0.930,-5.981,1.505,-0.305,27.936
0.068,-0.367,0.923,-5.631,0.778,-0.973,27.960
0.073,-0.365,0.918,-4.971,-0.104,-1.551,27.970
0.080,-0.361,0.916,-4.339,-0.658,-1.758,27.981
0.086,-0.358,0.916,-3.850,-0.757,-1.597,27.992
0.091,-0.356,0.917,-3.452,-0.411,-1.274,28.011
0.092,-0.355,0.919,-3.185,0.195,-0.910,28.012
0.093,-0.355,0.920,-2.923,0.746,-0.652,28.009
0.092,-0.356,0.919,-2.547,0.949,-0.516,28.011
0.093,-0.356,0.916,-2.139,0.910,-0.490,28.020
0.096,-0.356,0.912,-1.658,0.839,-0.444,28.029
0.099,-0.357,0.908,-0.950,1.003,-0.199,28.037
0.101,-0.358,0.908,-0.048,1.493,0.198,28.053
0.101,-0.360,0.913,0.907,1.753,0.656,28.050
0.101,-0.362,0.919,1.894,1.471,0.931,28.037
0.103,-0.362,0.928,2.771,0.989,1.290,28.040
0.103,-0.361,0.937,3.334,0.753,1.933,28.036
0.103,-0.361,0.943,3.440,0.897,2.751,28.038
0.102,-0.362,0.948,3.003,1.650,3.609,28.044
0.099,-0.364,0.952,2.176,2.577,4.337,28.033
0.093,-0.366,0.953,1.361,3.059,4.741,28.033
0.088,-0.368,0.949,0.788,2.821,4.693,28.032
0.085,-0.371,0.942,0.446,2.436,4.482,28.036
0.083,-0.373,0.937,0.239,2.132,4.300,28.029
0.082,-0.375,0.931,0.183,1.515,4.034,28.037
0.083,-0.377,0.927,0.332,0.831,3.713,28.046
0.084,-0.377,0.926,0.646,0.246,3.445,28.044
0.087,-0.377,0.927,1.213,-0.209,3.320,28.056
0.090,-0.376,0.931,1.834,-0.729,3.238,28.044
0.093,-0.374,0.937,2.364,-1.127,3.268,28.033
0.095,-0.371,0.944,2.651,-1.059,3.505,28.029
