accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
-4.000,-4.000,-4.000,-250.137,-250.137,-250.137,-231.000
0.839,-0.005,0.561,-250.137,-250.137,-250.137,29.094
0.838,-0.006,0.563,-250.137,-250.137,-250.137,29.125
0.837,-0.007,0.559,-250.137,-250.137,-250.137,29.172
0.841,-0.006,0.561,-0.550,0.962,-0.168,29.164
0.839,-0.008,0.558,-0.489,0.122,0.061,29.156
0.838,-0.008,0.556,-0.427,0.214,0.031,29.242
0.837,-0.008,0.555,-0.412,0.275,0.198,29.188
0.837,-0.008,0.557,-0.443,0.244,0.031,29.227
0.839,-0.006,0.558,-0.458,0.366,0.183,29.141
0.841,-0.006,0.561,-0.504,0.366,0.092,29.203
0.841,-0.004,0.561,-0.427,0.290,0.107,29.250
0.840,-0.005,0.559,-0.534,0.214,0.229,29.164
0.835,-0.006,0.557,-0.656,0.183,0.305,29.234
0.836,-0.007,0.556,-0.550,0.275,0.198,29.219
0.836,-0.008,0.557,-0.489,0.382,0.153,29.219
0.838,-0.006,0.559,-0.458,0.504,0.122,29.219
0.838,-0.008,0.561,-0.443,0.443,0.107,29.164
0.836,-0.006,0.560,-0.504,0.366,0.122,29.242
0.835,-0.008,0.558,-0.519,0.366,0.092,29.250
0.836,-0.007,0.558,-0.427,0.366,-0.031,29.227
0.832,-0.009,0.557,-0.473,0.366,0.046,29.242
0.840,-0.007,0.561,-0.397,0.275,0.061,29.234
0.842,-0.010,0.561,-0.397,0.183,-0.061,29.195
0.836,-0.009,0.558,-0.504,0.092,0.153,29.195
0.836,-0.008,0.558,-0.412,-0.244,-0.015,29.211
0.838,-0.009,0.557,-0.382,0.000,-0.092,29.273
0.840,-0.008,0.559,-0.397,0.641,0.000,29.242
0.840,-0.007,0.561,-0.305,0.870,-0.076,29.227
0.835,-0.008,0.561,-0.382,0.397,-0.046,29.281
0.835,-0.007,0.559,-0.473,-0.153,0.076,29.250
0.839,-0.008,0.561,-0.366,-0.198,-0.153,29.250
0.839,-0.008,0.560,-0.366,0.260,-0.015,29.234
0.839,-0.007,0.561,-0.305,0.611,-0.107,29.219
0.837,-0.007,0.561,-0.366,0.443,-0.076,29.219
0.836,-0.006,0.562,-0.504,0.290,-0.076,29.266
0.838,-0.007,0.562,-0.412,0.107,0.015,29.258
0.838,-0.005,0.561,-0.412,0.290,-0.015,29.258
0.838,-0.006,0.561,-0.382,0.351,0.015,29.320
0.838,-0.006,0.560,-0.321,0.397,-0.015,29.250
0.838,-0.005,0.561,-0.397,0.382,0.092,29.242
0.837,-0.006,0.560,-0.321,0.336,0.076,29.242
0.838,-0.006,0.561,-0.336,0.382,-0.031,29.211
0.838,-0.008,0.561,-0.458,0.336,-0.015,29.234
0.838,-0.007,0.561,-0.382,0.214,-0.031,29.242
0.839,-0.008,0.562,-0.382,0.336,0.000,29.250
0.838,-0.009,0.562,-0.366,0.305,0.092,29.273
0.837,-0.008,0.560,-0.427,0.290,-0.031,29.281
0.838,-0.008,0.559,-0.489,0.122,-0.015,29.242
0.840,-0.007,0.561,-0.382,0.244,-0.046,29.219
0.838,-0.007,0.560,-0.382,0.290,-0.076,29.242
0.838,-0.007,0.560,-0.412,0.321,-0.107,29.227
0.837,-0.009,0.561,-0.366,0.351,-0.015,29.250
0.838,-0.008,0.560,-0.382,0.244,-0.061,29.258
0.838,-0.008,0.561,-0.443,0.092,-0.015,29.258
0.840,-0.009,0.562,-0.366,0.092,-0.031,29.234
0.839,-0.008,0.561,-0.382,0.397,-0.061,29.305
0.837,-0.008,0.560,-0.397,0.351,-0.015,29.273
0.838,-0.006,0.560,-0.427,0.260,-0.015,29.312
