picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
sensorTask started...
ICM-42670P initialized successfully!
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,tmp
-1.000,-1.000,-1.000,-62.534,-62.534,-62.534,-57.750
-0.538,-0.752,-0.615,-109.435,-109.435,-109.435,-36.328
-0.191,-0.566,-0.326,-144.611,-144.611,-144.611,-20.246
0.070,-0.426,-0.110,-170.992,-170.992,-170.992,-8.194
0.265,-0.321,0.053,-128.336,-128.004,-128.263,0.844
0.412,-0.243,0.174,-96.347,-95.999,-96.178,7.622
0.522,-0.184,0.265,-72.356,-71.938,-72.126,12.714
0.604,-0.140,0.334,-54.366,-53.904,-54.098,16.530
0.666,-0.107,0.385,-40.859,-40.401,-40.570,19.392
0.712,-0.082,0.423,-30.751,-30.347,-30.416,21.540
0.747,-0.064,0.452,-23.162,-22.810,-22.808,23.153
0.774,-0.050,0.473,-17.479,-17.195,-17.106,24.365
0.793,-0.039,0.489,-13.216,-12.965,-12.811,25.277
0.808,-0.032,0.501,-9.992,-9.789,-9.589,25.962
0.819,-0.027,0.510,-7.589,-7.380,-7.169,26.473
0.828,-0.022,0.517,-5.780,-5.546,-5.384,26.869
0.835,-0.019,0.521,-4.419,-4.167,-4.034,27.152
0.839,-0.017,0.525,-3.410,-3.133,-3.022,27.368
0.843,-0.016,0.527,-2.641,-2.354,-2.263,27.533
0.846,-0.015,0.529,-2.065,-1.719,-1.708,27.666
0.848,-0.014,0.531,-1.625,-1.171,-1.300,27.738
0.850,-0.012,0.532,-1.284,-0.646,-1.017,27.809
0.850,-0.011,0.534,-1.020,-0.194,-0.793,27.867
0.850,-0.011,0.536,-0.815,0.072,-0.622,27.896
0.850,-0.010,0.537,-0.676,0.142,-0.482,27.922
0.850,-0.010,0.538,-0.591,0.083,-0.369,27.949
0.850,-0.009,0.539,-0.554,-0.052,-0.280,27.974
0.850,-0.009,0.539,-0.526,-0.142,-0.203,27.980
0.851,-0.009,0.540,-0.494,-0.126,-0.163,27.997
